TYPE,COMMUNE,STREET_NAME,STREET_END,SPEED_KMH,ALERT_TYPE
jam,Santiago,Av. Cardenal José María Caro,Salida 17 > Mercado Central,22.01,
jam,Santiago,Bascuñán Guerrero,Av. Libertador Bernardo O'Higgins,6.74,
jam,Santiago,Cuevas,Coquimbo,4.09,
jam,Santiago,García Reyes,Martínez de Rozas,4.33,
jam,Santiago,Av. Libertador Bernardo O'Higgins,Jaime Eyzaguirre,0,
jam,Estación Central,Arica,San Alberto Hurtado,13.88,
jam,Estación Central,Buzo Sobenes,Radal,4.97,
jam,Santiago,Esperanza,,5.55,
jam,Santiago,Unión Latinoamericana,Abate Molina,18.29,
jam,Providencia,Ramón Carnicer,Retorno > Sur,0,
jam,Santiago,Exposición,Av. Almirante Blanco Encalada,21.57,
jam,Santiago,Marín,Av. Santa Rosa,6.68,
jam,Santiago,Libertad,Av. San Pablo,6.66,
jam,Santiago,Av. Libertador Bernardo O'Higgins,,0,
jam,Santiago,Av. Libertador Bernardo O'Higgins,Pío Nono,0,
jam,Santiago,Calle Carabineros de Chile,Portugal,3.41,
jam,Santiago,Av. Libertador Bernardo O'Higgins,Namur,0,
jam,Santiago,Salvador Sanfuentes,Unión Latinoamericana,0,
jam,Providencia,Av. Libertador Bernardo O'Higgins,Av. Vicuña Mackenna,0,
jam,Santiago,Av. Libertador Bernardo O'Higgins,Av. Vicuña Mackenna,0,
jam,Santiago,Av. Libertador Bernardo O'Higgins,Namur,0,
jam,Providencia,Av. Italia,Av. Italia,7.41,
jam,Santiago,Merced,Irene Morales,0,
jam,Santiago,Av. Libertador Bernardo O'Higgins,,0,
jam,Santiago,Compañía de Jesús,Bandera,10.13,
jam,Independencia,Amunátegui,Nueva Andrés Bello,4.89,
jam,Santiago,Sazié,Exposición,7.78,
jam,Santiago,Enrique Mac Iver,Ismael Valdés Vergara,10.31,
jam,Providencia,Emilio Vaisse,Malaquías Concha,8.95,
jam,Independencia,Av. Independencia,Olivos,8.42,
